Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin File,File Offset (s),Begin Path,Freq 5% (Hz),Freq 95% (Hz),Peak Freq (Hz),Dur 90% (s),Center Time (s),Time 5% (s),Time 95% (s),Type,Syllables p Song,Site
8,Spectrogram 1,1,3855.084528,3855.347521,2552,6188.5,S1123KIP1_048K_S02_S7106_20240114_070004.flac,254.7005,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,2671.875,5812.5,3750,0.2284,3855.2569,3855.1033,3855.3317,Syllable,,S02
9,Spectrogram 1,1,3855.356914,3855.601122,2552,6188.5,S1123KIP1_048K_S02_S7106_20240114_070004.flac,254.9729,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,2671.875,5812.5,3750,0.2162,3855.5257,3855.3761,3855.5924,Syllable,,S02
10,Spectrogram 1,1,3855.610514,3855.854722,2615.8,6124.7,S1123KIP1_048K_S02_S7106_20240114_070004.flac,255.2265,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,2765.625,5718.75,3750,0.2162,3855.7803,3855.6287,3855.845,Syllable,,S02
11,Spectrogram 1,1,3892.43893,3892.673745,2871,6124.7,S1123KIP1_048K_S02_S7106_20240114_070004.flac,292.0549,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,3046.875,5765.625,3750,0.2102,3892.608,3892.4564,3892.6666,Syllable,,S02
12,Spectrogram 1,1,3892.683138,3892.90856,2871,6124.7,S1123KIP1_048K_S02_S7106_20240114_070004.flac,292.2991,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,3046.875,5765.625,3750,0.2001,3892.8505,3892.6989,3892.899,Syllable,,S02
13,Spectrogram 1,1,3892.917953,3893.180946,2807.2,6124.7,S1123KIP1_048K_S02_S7106_20240114_070004.flac,292.534,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,2953.125,5718.75,3750,0.2284,3893.095,3892.9374,3893.1657,Syllable,,S02
14,Spectrogram 1,1,3893.190338,3893.434546,2743.4,6316.1,S1123KIP1_048K_S02_S7106_20240114_070004.flac,292.8063,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,2906.25,5953.125,3750,0.2162,3893.3617,3893.2102,3893.4264,Syllable,,S02
15,Spectrogram 1,1,3893.425154,3893.678754,2871,6316.1,S1123KIP1_048K_S02_S7106_20240114_070004.flac,293.0411,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,3046.875,5953.125,3750,0.2223,3893.5982,3893.4446,3893.6669,Syllable,,S02
16,Spectrogram 1,1,3893.688147,3893.932354,2998.6,6379.9,S1123KIP1_048K_S02_S7106_20240114_070004.flac,293.3041,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,3140.625,6046.875,3750,0.2182,3893.8589,3893.7053,3893.9235,Syllable,,S02
17,Spectrogram 1,1,3893.922962,3894.20474,2743.4,6252.3,S1123KIP1_048K_S02_S7106_20240114_070004.flac,293.539,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,2906.25,5906.25,3750,0.2465,3894.1054,3893.9437,3894.1903,Syllable,,S02
18,Spectrogram 1,1,3894.214133,3894.486518,2871,6252.3,S1123KIP1_048K_S02_S7106_20240114_070004.flac,293.8301,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,3046.875,5953.125,3750,0.2364,3894.3924,3894.2327,3894.4692,Syllable,,S02
21,Spectrogram 1,1,3141.847206,3142.138377,2934.8,5933.3,S1123KIP1_048K_S02_S7106_20240113_070004.flac,141.5272,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,3093.75,5578.125,4500,0.2546,3141.9917,3141.8643,3142.119,Syllable,,S02
22,Spectrogram 1,1,3142.128984,3142.363799,2807.2,5741.9,S1123KIP1_048K_S02_S7106_20240113_070004.flac,141.809,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2953.125,5343.75,4500,0.2061,3142.2584,3142.1432,3142.3493,Syllable,,S02
23,Spectrogram 1,1,3142.335622,3142.636185,2743.4,5869.5,S1123KIP1_048K_S02_S7106_20240113_070004.flac,142.0156,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2859.375,5531.25,4500,0.2688,3142.4827,3142.3534,3142.6222,Syllable,,S02
27,Spectrogram 1,1,3370.594862,3370.857855,2743.4,6188.5,S1123KIP1_048K_S02_S7106_20240113_070004.flac,370.2749,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2906.25,5765.625,4500,0.2304,3370.7318,3370.6106,3370.8409,Syllable,,S02
28,Spectrogram 1,1,3370.848462,3371.09267,2552,6124.7,S1123KIP1_048K_S02_S7106_20240113_070004.flac,370.5285,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2671.875,5625,4500,0.2122,3370.9783,3370.8632,3371.0753,Syllable,,S02
29,Spectrogram 1,1,3371.102063,3371.355663,2488.2,6252.3,S1123KIP1_048K_S02_S7106_20240113_070004.flac,370.7821,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2625,5718.75,4500,0.2243,3371.237,3371.1178,3371.3421,Syllable,,S02
30,Spectrogram 1,1,3371.581086,3371.881649,2552,5997.1,S1123KIP1_048K_S02_S7106_20240113_070004.flac,371.2611,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2625,5531.25,4500,0.2708,3371.7281,3371.5987,3371.8695,Syllable,,S02
31,Spectrogram 1,1,3371.355663,3371.590478,2488.2,6316.1,S1123KIP1_048K_S02_S7106_20240113_070004.flac,371.0357,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2625,5765.625,4500,0.2061,3371.4836,3371.3684,3371.5745,Syllable,,S02
32,Spectrogram 1,1,3375.45084,3375.685655,2233,5997.1,S1123KIP1_048K_S02_S7106_20240113_070004.flac,375.1308,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2437.5,5484.375,4500,0.2061,3375.5778,3375.4646,3375.6707,Syllable,,S02
33,Spectrogram 1,1,3375.695048,3375.92047,2105.4,6379.9,S1123KIP1_048K_S02_S7106_20240113_070004.flac,375.375,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2343.75,5812.5,4500,0.198,3375.8162,3375.7091,3375.9072,Syllable,,S02
34,Spectrogram 1,1,3375.216025,3375.469625,2296.8,5933.3,S1123KIP1_048K_S02_S7106_20240113_070004.flac,374.896,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2390.625,5437.5,4500,0.2304,3375.3555,3375.2302,3375.4606,Syllable,,S02
35,Spectrogram 1,1,3375.01878,3375.23481,2296.8,6124.7,S1123KIP1_048K_S02_S7106_20240113_070004.flac,374.6988,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2484.375,5578.125,4500,0.192,3375.1392,3375.0321,3375.2241,Syllable,,S02
36,Spectrogram 1,1,3374.774572,3375.01878,2360.6,5869.5,S1123KIP1_048K_S02_S7106_20240113_070004.flac,374.4546,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2437.5,5390.625,4500,0.2223,3374.9089,3374.7896,3375.0119,Syllable,,S02
37,Spectrogram 1,1,3383.133993,3383.378201,2615.8,6060.9,S1123KIP1_048K_S02_S7106_20240113_070004.flac,382.814,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2671.875,5625,4500,0.2122,3383.265,3383.1498,3383.362,Syllable,,S02
38,Spectrogram 1,1,3382.814645,3383.143386,2615.8,6188.5,S1123KIP1_048K_S02_S7106_20240113_070004.flac,382.4946,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2671.875,5718.75,4500,0.289,3382.9679,3382.8326,3383.1215,Syllable,,S02
39,Spectrogram 1,1,3382.561044,3382.842822,2488.2,6188.5,S1123KIP1_048K_S02_S7106_20240113_070004.flac,382.241,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2625,5671.875,4500,0.2506,3382.7032,3382.5759,3382.8265,Syllable,,S02
40,Spectrogram 1,1,3382.316836,3382.589222,2743.4,5486.7,S1123KIP1_048K_S02_S7106_20240113_070004.flac,381.9968,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2859.375,5156.25,4500,0.2385,3382.4567,3382.3334,3382.5719,Syllable,,S02
41,Spectrogram 1,1,3382.044451,3382.345014,2807.2,5231.5,S1123KIP1_048K_S02_S7106_20240113_070004.flac,381.7245,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2906.25,4921.875,4500,0.2668,3382.1919,3382.0646,3382.3314,Syllable,,S02
45,Spectrogram 1,1,140.4571,140.7107004,2615.8,5997.1,S1123KIP1_048K_S02_S7106_20240108_070004.flac,140.4571,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,2718.75,5671.875,3000,0.2284,140.5954,140.4701,140.6985,Syllable,,S02
46,Spectrogram 1,1,139.9592918,140.2222848,2552,5805.7,S1123KIP1_048K_S02_S7106_20240108_070004.flac,139.9593,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,2718.75,5531.25,3000,0.2364,140.1044,139.973,140.2094,Syllable,,S02
47,Spectrogram 1,1,140.2316774,140.4664926,2743.4,6124.7,S1123KIP1_048K_S02_S7106_20240108_070004.flac,140.2317,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,2859.375,5765.625,3000,0.2081,140.361,140.2458,140.454,Syllable,,S02
48,Spectrogram 1,1,139.7244766,139.978077,2679.6,6124.7,S1123KIP1_048K_S02_S7106_20240108_070004.flac,139.7245,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,2765.625,5765.625,3000,0.2263,139.8639,139.7386,139.9649,Syllable,,S02
49,Spectrogram 1,1,139.4708761,139.7338692,2552,6060.9,S1123KIP1_048K_S02_S7106_20240108_070004.flac,139.4709,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,2718.75,5718.75,3000,0.2364,139.6153,139.484,139.7204,Syllable,,S02
50,Spectrogram 1,1,131.3086999,131.6092633,2871,5869.5,S1123KIP1_048K_S02_S7106_20240108_070004.flac,131.3087,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,3000,5625,3000,0.2769,131.4794,131.3238,131.6007,Syllable,,S02
51,Spectrogram 1,1,131.5998707,131.8534712,2871,5741.9,S1123KIP1_048K_S02_S7106_20240108_070004.flac,131.5999,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,3000,5531.25,3000,0.2263,131.7442,131.6128,131.8392,Syllable,,S02
52,Spectrogram 1,1,131.8346859,132.1070716,2679.6,5869.5,S1123KIP1_048K_S02_S7106_20240108_070004.flac,131.8347,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,2765.625,5625,3000,0.2425,131.9826,131.8472,132.0897,Syllable,,S02
53,Spectrogram 1,1,132.0788937,132.3418868,2488.2,5741.9,S1123KIP1_048K_S02_S7106_20240108_070004.flac,132.0789,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,2625,5484.375,3000,0.2364,132.2231,132.0918,132.3282,Syllable,,S02
54,Spectrogram 1,1,132.2949237,132.5954872,2488.2,5997.1,S1123KIP1_048K_S02_S7106_20240108_070004.flac,132.2949,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,2625,5625,2765.625,0.2748,132.4656,132.312,132.5869,Syllable,,S02
55,Spectrogram 1,1,132.5673094,132.8584802,2615.8,6316.1,S1123KIP1_048K_S02_S7106_20240108_070004.flac,132.5673,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,2718.75,5906.25,2765.625,0.2688,132.7303,132.5828,132.8516,Syllable,,S02
56,Spectrogram 1,1,123.6349393,123.9542879,2615.8,6252.3,S1123KIP1_048K_S02_S7106_20240108_070004.flac,123.6349,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,2718.75,5812.5,2812.5,0.295,123.8205,123.6528,123.9478,Syllable,,S02
57,Spectrogram 1,1,123.4095167,123.6537245,2615.8,6443.7,S1123KIP1_048K_S02_S7106_20240108_070004.flac,123.4095,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,2765.625,6093.75,3000,0.2162,123.5436,123.4224,123.6386,Syllable,,S02
58,Spectrogram 1,1,123.1747015,123.4376945,2296.8,6316.1,S1123KIP1_048K_S02_S7106_20240108_070004.flac,123.1747,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,2390.625,5859.375,3000,0.2364,123.3213,123.188,123.4244,Syllable,,S02
