Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin File,File Offset (s),Begin Path,Freq 5% (Hz),Freq 95% (Hz),Peak Freq (Hz),Dur 90% (s),Center Time (s),Time 5% (s),Time 95% (s),Type,Syllables p Song,Site
20,Spectrogram 1,1,3541.587351,3541.831559,2380.8,6104.5,S1123KIP1_048K_S04_S7112_20240113_070004.flac,541.2674,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2484.375,5859.375,3515.625,0.2142,3541.7226,3541.6034,3541.8176,Syllable,,S04
21,Spectrogram 1,1,3541.840951,3542.094552,2319.7,6226.6,S1123KIP1_048K_S04_S7112_20240113_070004.flac,541.521,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2437.5,5953.125,3515.625,0.2243,3541.9792,3541.856,3542.0803,Syllable,,S04
22,Spectrogram 1,1,3542.094552,3542.310582,2319.7,5799.3,S1123KIP1_048K_S04_S7112_20240113_070004.flac,541.7745,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2437.5,5531.25,3515.625,0.192,3542.2116,3542.1086,3542.3006,Syllable,,S04
23,Spectrogram 1,1,3542.338759,3542.564182,2258.7,6226.6,S1123KIP1_048K_S04_S7112_20240113_070004.flac,542.0187,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2390.625,5906.25,3515.625,0.2021,3542.4602,3542.3511,3542.5532,Syllable,,S04
24,Spectrogram 1,1,3542.601752,3542.84596,2502.9,5677.2,S1123KIP1_048K_S04_S7112_20240113_070004.flac,542.2817,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2625,5437.5,3515.625,0.2122,3542.735,3542.6198,3542.832,Syllable,,S04
25,Spectrogram 1,1,3557.141509,3557.348147,2563.9,6043.5,S1123KIP1_048K_S04_S7112_20240113_070004.flac,556.8215,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2671.875,5765.625,3515.625,0.1859,3557.2547,3557.1537,3557.3396,Syllable,,S04
26,Spectrogram 1,1,3556.859731,3557.150902,2563.9,5860.3,S1123KIP1_048K_S04_S7112_20240113_070004.flac,556.5397,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2671.875,5671.875,3515.625,0.2546,3557.0122,3556.8788,3557.1335,Syllable,,S04
27,Spectrogram 1,1,3556.606131,3556.859731,2502.9,5799.3,S1123KIP1_048K_S04_S7112_20240113_070004.flac,556.2861,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2625,5531.25,3515.625,0.2203,3556.7434,3556.6242,3556.8445,Syllable,,S04
28,Spectrogram 1,1,3556.361923,3556.615523,2441.8,5860.3,S1123KIP1_048K_S04_S7112_20240113_070004.flac,556.0419,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2578.125,5671.875,3515.625,0.2203,3556.4989,3556.3797,3556.6,Syllable,,S04
29,Spectrogram 1,1,3556.108323,3556.390101,2441.8,6043.5,S1123KIP1_048K_S04_S7112_20240113_070004.flac,555.7883,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2578.125,5765.625,3515.625,0.2486,3556.2564,3556.1271,3556.3757,Syllable,,S04
30,Spectrogram 1,1,3555.929863,3556.1365,2624.9,5616.2,S1123KIP1_048K_S04_S7112_20240113_070004.flac,555.6099,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2718.75,5390.625,3515.625,0.1819,3556.0442,3555.9432,3556.1251,Syllable,,S04
